"","Year","Points.x","From","To","Jury","Draw","Artist","Song","Language","Place","Points.y","Type","track.album.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track.duration_ms","track.name","key_name","mode_name","track.album.release_date","repeat_artist","NPoints"
"8052",2018,12,"Ireland","Lithuania","T",6,"ieva zasimauskaite","""When We're Old""","English",9,119,"sf1","When We're Old",0.357,0.262,"A# major",-12.828,1,0.0375,0.842,0.00794,0.142,0.0804,179.091,179500,"When We're Old","A#","major","2018-03-15",0,6
"8053",2018,12,"Ireland","Lithuania","T",4,"ieva zasimauskaite","""When We're Old""","English",12,181,"f","When We're Old",0.357,0.262,"A# major",-12.828,1,0.0375,0.842,0.00794,0.142,0.0804,179.091,179500,"When We're Old","A#","major","2018-03-15",0,6
"8054",2018,1,"Ireland","Moldova","T",7,"doredos","""My Lucky Day""","English",3,235,"sf2","My Lucky Day",0.735,0.874,"B minor",-4.891,0,0.0709,0.00816,1.61e-06,0.325,0.818,122.002,183934,"My Lucky Day","B","minor","2018-04-06",0,0.5
"8055",2018,1,"Ireland","Moldova","T",19,"doredos","""My Lucky Day""","English",10,209,"f","My Lucky Day",0.735,0.874,"B minor",-4.891,0,0.0709,0.00816,1.61e-06,0.325,0.818,122.002,183934,"My Lucky Day","B","minor","2018-04-06",0,0.5
"8056",2018,3,"Ireland","Netherlands","T",8,"waylon","""Outlaw in 'Em""","English",7,174,"sf2","Outlaw In 'Em",0.583,0.875,"B minor",-6.01,0,0.0502,0.0608,0,0.341,0.726,86.992,176162,"Outlaw In 'Em - Single Edit","B","minor","2018-03-03",0,1.5
"8057",2018,3,"Ireland","Netherlands","T",23,"waylon","""Outlaw in 'Em""","English",18,121,"f","Outlaw In 'Em",0.583,0.875,"B minor",-6.01,0,0.0502,0.0608,0,0.341,0.726,86.992,176162,"Outlaw In 'Em - Single Edit","B","minor","2018-03-03",0,1.5
"8058",2018,10,"Ireland","United Kingdom","T",9,"surie","""Storm""","English",24,48,"f","Storm",0.681,0.734,"A# major",-5.562,1,0.0752,0.0617,0,0.216,0.544,115.982,177213,"Storm","A#","major","2018-03-07",0,5
"8059",2018,1,"Israel","Austria","T",13,"cesar sampson","""Nobody but You""","English",4,231,"sf1","Nobody But You",0.502,0.509,"B minor",-6.321,0,0.0322,0.09,0,0.358,0.434,84.818,183511,"Nobody But You","B","minor","2018-05-04",0,0.5
"8060",2018,1,"Israel","Austria","T",5,"cesar sampson","""Nobody but You""","English",3,342,"f","Nobody But You",0.502,0.509,"B minor",-6.321,0,0.0322,0.09,0,0.358,0.434,84.818,183511,"Nobody But You","B","minor","2018-05-04",0,0.5
"8061",2018,2,"Israel","Cyprus","T",19,"eleni foureira","""Fuego""","English",2,262,"sf1","Fuego",0.589,0.758,"B minor",-4.578,0,0.117,0.0648,0,0.606,0.589,101.037,183675,"Fuego","B","minor","2018-03-09",0,1
"8062",2018,2,"Israel","Cyprus","T",25,"eleni foureira","""Fuego""","English",2,436,"f","Fuego",0.589,0.758,"B minor",-4.578,0,0.117,0.0648,0,0.606,0.589,101.037,183675,"Fuego","B","minor","2018-03-09",0,1
"8063",2018,12,"Israel","Czech Republic","T",5,"mikolas josef","""Lie to Me""","English",3,232,"sf1","Lie to Me (ESC Version)",0.831,0.702,"F# minor",-6.448,0,0.123,0.00401,3.43e-06,0.359,0.639,106.013,171066,"Lie to Me - ESC Version","F#","minor","2018-04-13",0,6
"8064",2018,12,"Israel","Czech Republic","T",14,"mikolas josef","""Lie to Me""","English",6,281,"f","Lie to Me (ESC Version)",0.831,0.702,"F# minor",-6.448,0,0.123,0.00401,3.43e-06,0.359,0.639,106.013,171066,"Lie to Me - ESC Version","F#","minor","2018-04-13",0,6
"8065",2018,4,"Israel","Denmark","T",5,"rasmussen","""Higher Ground""","English",5,204,"sf2","Higher Ground",0.47,0.849,"B minor",-5.168,0,0.0448,0.0246,0,0.129,0.42,82.012,183183,"Higher Ground","B","minor","2018-02-11",0,2
"8066",2018,4,"Israel","Denmark","T",15,"rasmussen","""Higher Ground""","English",9,226,"f","Higher Ground",0.47,0.849,"B minor",-5.168,0,0.0448,0.0246,0,0.129,0.42,82.012,183183,"Higher Ground","B","minor","2018-02-11",0,2
"8067",2018,8,"Israel","Estonia","T",9,"elina nechayeva","""La forza""","Italian",5,201,"sf1","La Forza",0.232,0.597,"D minor",-8.256,0,0.0413,0.495,1.58e-06,0.269,0.262,93.903,184883,"La Forza","D","minor","2018-01-22",0,4
"8068",2018,8,"Israel","Estonia","T",6,"elina nechayeva","""La forza""","Italian",8,245,"f","La Forza",0.232,0.597,"D minor",-8.256,0,0.0413,0.495,1.58e-06,0.269,0.262,93.903,184883,"La Forza","D","minor","2018-01-22",0,4
